,Komoditas,Nilai-Ekspor-19,Berat-Ekspor-19,Nilai-Impor-19,Berat-Impor-19,Nilai-Ekspor-20,Berat-Ekspor-20,Nilai-Impor-20,Berat-Impor-20,Nilai-Ekspor-21,Berat-Ekspor-21,Nilai-Impor-21,Berat-Impor-21,Nilai-Ekspor-22,Berat-Ekspor-22,Nilai-Impor-22,Berat-Impor-22,Nilai-Ekspor-23 Jan-Mar,Berat-Ekspor-23 Jan-Mar,Nilai-Impor-23 Jan-Mar,Berat-Impor-23 Jan-Mar
0,[01] Binatang hidup,5873999.59,2680813.72,68424519,23818775,7100932.37,2724529.61,38804127,10520405,4893514.77,2186244.55,64076402,16465471,6914434.9,2270655.45,57240250,14840325,5873999.59,2680813.72,68424519,23818775
1,[02] Daging hewan,2080212.18,282403.8,94038467,28656206,725802.68,118483.87,107316431,33571600,2035323.31,298613.9,83673023,22457685,2234884.15,244868.47,61800880,17222040,2080212.18,282403.8,94038467,28656206
2,"[03] Ikan, krustasea, dan moluska",353147103.18,86326731.81,23710127,9055556,305704251.01,66236492.43,25427653,11332031,366688615.6,76955293.54,36115889,11673926,365153873.66,76007279.46,51289721,20607545,353147103.18,86326731.81,23710127,9055556
3,"[04] Susu, mentega, dan telur",47761502.44,2282264.3,127095239,51060845,81192109.02,3604653.85,127336820,48335598,53525012.09,3915144.23,152273120,51895075,44987675.77,4120769.81,166063105,45079226,47761502.44,2282264.3,127095239,51060845
4,[05] Produk hewani,1598953.0,1193223.71,13319862,4577710,2276559.78,906706.99,12804893,7114998,3563517.95,1098908.22,9111064,5523772,3123249.0,1224728.19,7154882,4793524,1598953.0,1193223.71,13319862,4577710
5,[06] Pohon hidup dan bunga potong,2137990.25,920034.39,947093,189362,1871508.92,682466.65,1088152,171284,2635281.62,580131.32,1160537,154757,1957157.21,640196.0,1227292,234987,2137990.25,920034.39,947093,189362
6,[07] Sayuran,6456818.63,6950626.11,145603279,136322939,8371759.85,9685185.32,149660337,144849749,7437351.66,9623492.4,124736557,117215020,6485046.08,6280322.2,139063102,148711921,6456818.63,6950626.11,145603279,136322939
7,[08] Buah-buahan,97192884.62,114614297.64,236661240,122930078,96740270.69,128374874.75,196200079,98722727,81893087.08,102762931.05,170808605,89047018,46124315.66,71443063.92,186062146,92713502,97192884.62,114614297.64,236661240,122930078
8,"[09] Kopi, teh, dan rempah-rempah",136325572.97,49307270.23,24890163,13927743,180385179.8,66343856.14,20168618,13699837,170205278.24,53764244.6,38159415,13883480,142892133.72,48227233.39,41393233,14176337,136325572.97,49307270.23,24890163,13927743
9,[10] Serealia,143511.46,127950.0,226789323,868539513,325756.41,260264.36,232153562,863176349,942841.76,469015.68,214727719,574949175,28185671.55,94676594.76,449741859,1100563102,143511.46,127950.0,226789323,868539513
10,[11] Hasil penggilingan,5438649.96,11065848.7,25684957,59729648,21041245.9,51790219.98,13052358,27139586,8943262.41,14873428.18,17837236,29655363,9362077.54,16923666.13,19108799,29024810,5438649.96,11065848.7,25684957,59729648
11,[12] Biji dan buah mengandung minyak,27450768.35,31402643.04,135785258,237979527,28563231.72,26658596.95,102911412,184595604,34357857.51,21772590.84,136438060,180677277,40359661.03,33235925.34,162894994,199227345,27450768.35,31402643.04,135785258,237979527
12,"[13] Lak, getah, dan damar",11185671.36,4461735.21,6679830,746945,12326565.1,5004141.71,7316708,868640,20960797.42,6785099.64,9689643,863078,23014184.5,5511131.83,6419373,681541,11185671.36,4461735.21,6679830,746945
13,[14] Bahan anyaman nabati,28848159.41,380991052.82,91865,140373,34090258.18,332660541.2,40057,12798,43231422.01,402205203.41,108180,76243,46867359.15,421880297.24,213581,172735,28848159.41,380991052.82,91865,140373
14,[15] Lemak dan minyak hewani/nabati,2063226322.06,3393260065.09,13476829,9151533,2616078157.75,3210190052.29,30102942,19385622,2976123182.31,2356499111.57,42987728,21106324,2624111620.77,2932049598.01,17173736,7125969,2063226322.06,3393260065.09,13476829,9151533
15,"[16] Olahan dari daging, ikan, krustasea, dan moluska",107456297.32,17134877.32,5256869,1145152,109868447.47,14876335.67,5037713,1148125,148404585.91,16578407.48,8446159,1666441,112669287.62,15283667.46,5624430,1224817,107456297.32,17134877.32,5256869,1145152
16,[17] Gula dan kembang gula,24091240.74,70042839.03,178270829,509278326,29404847.29,64631214.33,109356547,265695652,43516058.73,74961417.56,189782875,357821426,45388167.06,103642489.35,188901552,347442399,24091240.74,70042839.03,178270829,509278326
17,[18] Kakao dan olahannya,100634480.6,31514962.3,51195818,18441638,113680226.84,34669603.56,58956562,21960779,97351976.72,32235596.74,83645954,31519263,117245119.3,36983211.27,89021774,34219593,100634480.6,31514962.3,51195818,18441638
18,[19] Olahan dari tepung,96729172.21,42774403.55,43470228,15626535,111461227.45,47685932.54,38416107,15936908,122751377.36,55331265.65,54584015,18514831,106760809.75,44584803.28,49499014,16195344,96729172.21,42774403.55,43470228,15626535
19,"[20] Olahan dari sayuran, buah, dan kacang",23045626.91,19443899.42,18471664,12818611,33430098.64,22798783.32,17365769,11914710,31736017.0,23775953.06,20624497,14723227,31909193.38,21809324.34,34068308,20278785,23045626.91,19443899.42,18471664,12818611
20,[21] Berbagai makanan olahan,121178813.17,47094378.8,66719464,20033270,120535087.71,49631669.42,82752077,22461801,146805726.96,64344817.65,94191997,24636571,135868313.03,57001432.09,102316074,31238417,121178813.17,47094378.8,66719464,20033270
